action,variant,id,input,expected,status,passed,timestamp
"create_work_order","Y_paraphrase","Y1","Create a work order for Generator 2 oil change","create_work_order",400,true,"2026-01-20T19:56:42.061Z"
"create_work_order","Y_paraphrase","Y2","Make a new WO for generator maintenance","create_work_order",400,true,"2026-01-20T19:56:42.237Z"
"create_work_order","Y_paraphrase","Y3","I need to create a maintenance ticket for the starboard engine","create_work_order",400,true,"2026-01-20T19:56:42.365Z"
"create_work_order","Y_paraphrase","Y4","Open a job card for HVAC inspection","create_work_order",400,true,"2026-01-20T19:56:42.757Z"
"create_work_order","Y_paraphrase","Y5","Start a new work request for bow thruster repair","create_work_order",400,true,"2026-01-20T19:56:42.889Z"
"create_work_order","Z_entity","Z1","Create WO for gen 2","create_work_order",400,true,"2026-01-20T19:56:43.013Z"
"create_work_order","Z_entity","Z2","Create WO for the port generator","create_work_order",400,true,"2026-01-20T19:56:43.476Z"
"create_work_order","Z_entity","Z3","New work order for e1000001-0001-4001-8001-000000000004","create_work_order",400,true,"2026-01-20T19:56:43.609Z"
"create_work_order","W_contradiction","W1","Create a work order but don't save it","clarification_required",400,true,"2026-01-20T19:56:43.806Z"
"create_work_order","W_contradiction","W2","Delete the work order I just created","separate_action_delete",400,true,"2026-01-20T19:56:44.950Z"
"report_fault","Y_paraphrase","Y1","Report a fault on Generator 2 - abnormal vibration","report_fault",400,true,"2026-01-20T19:56:45.379Z"
"report_fault","Y_paraphrase","Y2","Log a defect on the HVAC chiller","report_fault",400,true,"2026-01-20T19:56:45.488Z"
"report_fault","Y_paraphrase","Y3","There's a problem with the bow thruster, please record it","report_fault",400,true,"2026-01-20T19:56:45.776Z"
"report_fault","Y_paraphrase","Y4","Create a fault report for radar display flickering","report_fault",400,true,"2026-01-20T19:56:45.901Z"
"report_fault","Y_paraphrase","Y5","Mark the watermaker as having an issue","report_fault",400,true,"2026-01-20T19:56:46.019Z"
"report_fault","Z_entity","Z1","Report fault on gen2","report_fault",400,true,"2026-01-20T19:56:46.137Z"
"report_fault","Z_entity","Z2","Fault report for the main engine","report_fault",400,true,"2026-01-20T19:56:46.254Z"
"report_fault","Z_entity","Z3","Log defect e1000001-0001-4001-8001-000000000007","report_fault",400,true,"2026-01-20T19:56:46.429Z"
"report_fault","W_contradiction","W1","Report a fault but it's not actually broken","clarification_required",400,true,"2026-01-20T19:56:46.556Z"
"report_fault","W_contradiction","W2","Cancel the fault I just reported","separate_action_cancel",400,true,"2026-01-20T19:56:46.690Z"
"add_to_handover","Y_paraphrase","Y1","Add to handover: Generator check completed","add_to_handover",400,true,"2026-01-20T19:56:47.242Z"
"add_to_handover","Y_paraphrase","Y2","Put this in the handover notes: fuel bunkered 5000L","add_to_handover",400,true,"2026-01-20T19:56:47.789Z"
"add_to_handover","Y_paraphrase","Y3","Log for handover - all systems normal","add_to_handover",400,true,"2026-01-20T19:56:48.308Z"
"add_to_handover","Y_paraphrase","Y4","Record in handover that anchor was deployed at 0800","add_to_handover",400,true,"2026-01-20T19:56:48.422Z"
"add_to_handover","Y_paraphrase","Y5","Make a handover note about the weather conditions","add_to_handover",400,true,"2026-01-20T19:56:48.755Z"
"add_to_handover","Z_entity","Z1","Handover note for captain","add_to_handover",400,true,"2026-01-20T19:56:48.869Z"
"add_to_handover","Z_entity","Z2","Add to engineer's handover log","add_to_handover",400,true,"2026-01-20T19:56:49.049Z"
"add_to_handover","Z_entity","Z3","Note for next watch: bilge levels high","add_to_handover",400,true,"2026-01-20T19:56:49.179Z"
"add_to_handover","W_contradiction","W1","Add to handover but keep it private","clarification_required",400,true,"2026-01-20T19:56:49.295Z"
"add_to_handover","W_contradiction","W2","Remove my last handover note","separate_action_remove",400,true,"2026-01-20T19:56:49.417Z"
"order_part","Y_paraphrase","Y1","Order 5 oil filters for Generator 2","order_part",404,true,"2026-01-20T19:56:49.573Z"
"order_part","Y_paraphrase","Y2","Put in a purchase request for hydraulic seals","order_part",404,true,"2026-01-20T19:56:49.708Z"
"order_part","Y_paraphrase","Y3","Need to order replacement belts for HVAC","order_part",404,true,"2026-01-20T19:56:50.285Z"
"order_part","Y_paraphrase","Y4","Add 10 fuel filters to the shopping list","order_part",404,true,"2026-01-20T19:56:50.399Z"
"order_part","Y_paraphrase","Y5","Requisition spare radar cables","order_part",404,true,"2026-01-20T19:56:50.510Z"
"order_part","Z_entity","Z1","Order parts for gen 2","order_part",404,true,"2026-01-20T19:56:50.635Z"
"order_part","Z_entity","Z2","Order GEN-OF-001","order_part",404,true,"2026-01-20T19:56:51.055Z"
"order_part","Z_entity","Z3","Order 3 items from supplier Marine Parts Ltd","order_part",404,true,"2026-01-20T19:56:51.286Z"
"order_part","W_contradiction","W1","Order parts but don't submit the request yet","draft_mode",404,true,"2026-01-20T19:56:51.425Z"
"order_part","W_contradiction","W2","Cancel the parts order I just made","separate_action_cancel",404,true,"2026-01-20T19:56:51.538Z"
"view_manual","Y_paraphrase","Y1","Show manual for Generator 2","view_manual",404,true,"2026-01-20T19:56:51.670Z"
"view_manual","Y_paraphrase","Y2","Open the HVAC documentation","view_manual",404,true,"2026-01-20T19:56:51.822Z"
"view_manual","Y_paraphrase","Y3","Pull up the bow thruster service guide","view_manual",404,true,"2026-01-20T19:56:51.947Z"
"view_manual","Y_paraphrase","Y4","I need the radar system manual","view_manual",404,true,"2026-01-20T19:56:52.069Z"
"view_manual","Y_paraphrase","Y5","Find the watermaker operating instructions","view_manual",404,true,"2026-01-20T19:56:52.808Z"
"view_manual","Z_entity","Z1","Manual for gen2","view_manual",404,true,"2026-01-20T19:56:52.914Z"
"view_manual","Z_entity","Z2","Show Caterpillar 3412 documentation","view_manual",404,true,"2026-01-20T19:56:55.517Z"
